series,date,sales,volume,volume_sa
abs,2018-01-01,101059.462,118.117,117.249
abs,2018-02-01,97152.225,114.032,117.775
abs,2018-03-01,103777.25,121.689,117.75
abs,2018-04-01,99769.545,115.489,119.255
abs,2018-05-01,103705.123,120.131,120.384
abs,2018-06-01,106130.865,125.571,123.258
abs,2018-07-01,106450.962,125.001,124.798
abs,2018-08-01,107865.59,125.862,126.815
abs,2018-09-01,104716.819,122.634,122.181
abs,2018-10-01,106017.669,125.532,124.84
abs,2018-11-01,106190.454,124.503,125.784
abs,2018-12-01,109309.196,127.073,125.415
abs,2019-01-01,108943.917,127.431,126.651
abs,2019-02-01,103482.327,121.333,125.89
abs,2019-03-01,109437.571,127.824,124.216
abs,2019-04-01,105373.259,121.523,126.336
abs,2019-05-01,110797.421,128.121,128.412
abs,2019-06-01,112340.664,133.661,130.51
abs,2019-07-01,112540.232,132.864,131.662
abs,2019-08-01,114068.76,133.227,132.827
abs,2019-09-01,110621.307,129.957,130.685
abs,2019-10-01,111317.644,132.116,131.294
abs,2019-11-01,111697.846,131.566,132.594
abs,2019-12-01,115825.006,134.739,133.067
abs,2020-01-01,114776.278,134.4,130.15
abs,2020-02-01,108972.505,127.937,133.668
abs,2020-03-01,103182.074,120.052,120.422
abs,2020-04-01,66851.887,74.615,79.404
abs,2020-05-01,84440.371,97.211,100.972
abs,2020-06-01,102869.378,121.721,121.063
abs,2020-07-01,108652.893,127.745,126.963
abs,2020-08-01,111420.748,129.906,129.171
abs,2020-09-01,110992.081,130.555,129.254
abs,2020-10-01,110452.811,130.239,126.758
abs,2020-11-01,110395.235,129.668,127.186
abs,2020-12-01,116408.801,135.101,129.244
abs,2021-01-01,111845.709,131.209,126.346
abs,2021-02-01,108009.129,126.884,132.28
abs,2021-03-01,112734.46,130.684,130.749
abs,2021-04-01,111094.831,127.848,135.672
abs,2021-05-01,108241.362,123.65,128.848
abs,2021-06-01,92226.658,106.284,106.237
abs,2021-07-01,92678.686,106.595,106.387
abs,2021-08-01,100050.61,114.591,114.943
abs,2021-09-01,108113.689,123.268,121.521
abs,2021-10-01,116233.532,131.998,127.568
abs,2021-11-01,117559.834,132.83,129.528
abs,2021-12-01,120635.343,136.229,129.719
abs,2022-01-01,120184.635,135.628,131.349
abs,2022-02-01,117089.911,131.503,135.98
abs,2022-03-01,123773.353,136.874,136.158
abs,2022-04-01,127983.599,140.638,151.506
abs,2022-05-01,129503.813,141.809,145.6
abs,2022-06-01,132794.976,144.284,144.436
abs,2022-07-01,130393.181,142.189,144.511
abs,2022-08-01,133625.727,145.452,145.006
abs,2022-09-01,134015.12,146.048,144.956
abs,2022-10-01,133596.163,145.653,141.839
abs,2022-11-01,134263.833,145.913,142.574
abs,2022-12-01,137293.664,149.2,142.198
abs,2023-01-01,135130.133,147.13,142.768
abs,2023-02-01,133792.018,145.44,147.411
abs,2023-03-01,138497.306,149.761,151.496
abs,2023-04-01,135987.541,147.315,149.004
abs,2023-05-01,137996.067,148.315,150.344
abs,2023-06-01,138464.939,148.796,154.545
abs,2023-07-01,139692.409,149.904,156.364
abs,2023-08-01,142525.597,152.797,154.328
