Category: All categories

Month,Shopee: (Malaysia),Lazada: (Malaysia),TikTok Shop: (Malaysia)
2020-01,60,38,0
2020-02,51,37,0
2020-03,55,46,0
2020-04,82,56,0
2020-05,85,52,0
2020-06,86,43,0
2020-07,83,45,0
2020-08,77,41,0
2020-09,80,39,0
2020-10,78,33,0
2020-11,89,40,0
2020-12,79,29,0
2021-01,77,26,0
2021-02,80,22,<1
2021-03,76,24,<1
2021-04,73,22,0
2021-05,74,23,<1
2021-06,100,29,<1
2021-07,90,27,<1
2021-08,85,24,<1
2021-09,87,22,<1
2021-10,85,19,<1
2021-11,82,21,<1
2021-12,80,19,<1
2022-01,84,19,<1
2022-02,82,19,<1
2022-03,81,19,<1
2022-04,88,18,<1
2022-05,74,17,<1
2022-06,72,16,1
2022-07,75,15,2
2022-08,77,16,3
2022-09,71,15,2
2022-10,72,15,2
2022-11,63,15,1
2022-12,64,15,1
2023-01,59,13,1
2023-02,60,14,1
2023-03,54,15,1
2023-04,55,13,1
2023-05,55,13,1
2023-06,49,14,1
2023-07,54,12,1
2023-08,50,11,1
2023-09,51,11,1
2023-10,50,10,2
2023-11,53,11,1
2023-12,54,11,1
2024-01,52,11,1
2024-02,46,10,1
2024-03,50,11,1
2024-04,45,10,1
2024-05,47,9,1
2024-06,43,10,1
2024-07,43,10,1
2024-08,44,9,1
2024-09,43,9,1
2024-10,44,9,1
2024-11,46,10,1
2024-12,45,16,1
2025-01,47,9,1
2025-02,42,9,1
2025-03,40,15,1
2025-04,40,8,1
2025-05,41,8,1
2025-06,40,12,1
2025-07,43,8,1
2025-08,41,7,1
2025-09,42,9,1
2025-10,42,8,1
2025-11,45,13,2
2025-12,42,7,2
